         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]       [Wg^-1]           [%]          [°C]
             0   2.54490e+01   0.00000e+00   1.96746e-01   1.00269e+02   2.50000e+01
             1   2.55671e+01   1.00000e+00   2.28673e-01   1.00258e+02   2.51667e+01
             2   2.57156e+01   2.00000e+00   2.59286e-01   1.00247e+02   2.53333e+01
             3   2.58839e+01   3.00000e+00   2.85961e-01   1.00237e+02   2.55000e+01
             4   2.61101e+01   4.00000e+00   3.33675e-01   1.00228e+02   2.56667e+01
             5   2.63354e+01   5.00000e+00   3.66324e-01   1.00224e+02   2.58333e+01
             6   2.65532e+01   6.00000e+00   3.97055e-01   1.00223e+02   2.60000e+01
             7   2.67840e+01   7.00000e+00   4.28377e-01   1.00218e+02   2.61667e+01
             8   2.70112e+01   8.00000e+00   4.72812e-01   1.00243e+02   2.63333e+01
             9   2.72498e+01   9.00000e+00   5.11961e-01   1.00254e+02   2.65000e+01
            10   2.74835e+01   1.00000e+01   5.51118e-01   1.00265e+02   2.66667e+01
            11   2.77159e+01   1.10000e+01   5.90448e-01   1.00284e+02   2.68333e+01
            12   2.79513e+01   1.20000e+01   6.36975e-01   1.00270e+02   2.70000e+01
            13   2.81909e+01   1.30000e+01   6.79668e-01   1.00264e+02   2.71667e+01
            14   2.84431e+01   1.40000e+01   7.21296e-01   1.00257e+02   2.73333e+01
            15   2.86847e+01   1.50000e+01   7.62864e-01   1.00250e+02   2.75000e+01
            16   2.89194e+01   1.60000e+01   8.08149e-01   1.00237e+02   2.76667e+01
            17   2.91557e+01   1.70000e+01   8.51482e-01   1.00232e+02   2.78333e+01
            18   2.94135e+01   1.80000e+01   8.94237e-01   1.00227e+02   2.80000e+01
            19   2.96489e+01   1.90000e+01   9.36863e-01   1.00229e+02   2.81667e+01
            20   2.98891e+01   2.00000e+01   9.80640e-01   1.00242e+02   2.83333e+01
            21   3.01411e+01   2.10000e+01   1.02386e+00   1.00245e+02   2.85000e+01
            22   3.03911e+01   2.20000e+01   1.06670e+00   1.00248e+02   2.86667e+01
            23   3.06150e+01   2.30000e+01   1.10935e+00   1.00246e+02   2.88333e+01
            24   3.08527e+01   2.40000e+01   1.15117e+00   1.00224e+02   2.90000e+01
            25   3.10968e+01   2.50000e+01   1.19311e+00   1.00210e+02   2.91667e+01
            26   3.13331e+01   2.60000e+01   1.23486e+00   1.00200e+02   2.93333e+01
            27   3.15698e+01   2.70000e+01   1.27661e+00   1.00191e+02   2.95000e+01
            28   3.18117e+01   2.80000e+01   1.31725e+00   1.00185e+02   2.96667e+01
            29   3.20639e+01   2.90000e+01   1.35805e+00   1.00182e+02   2.98333e+01
            30   3.23042e+01   3.00000e+01   1.39863e+00   1.00179e+02   3.00000e+01
            31   3.25418e+01   3.10000e+01   1.43906e+00   1.00176e+02   3.01667e+01
            32   3.27804e+01   3.20000e+01   1.47780e+00   1.00179e+02   3.03333e+01
            33   3.30164e+01   3.30000e+01   1.51713e+00   1.00176e+02   3.05000e+01
            34   3.32378e+01   3.40000e+01   1.55636e+00   1.00169e+02   3.06667e+01
            35   3.34793e+01   3.50000e+01   1.59544e+00   1.00161e+02   3.08333e+01
            36   3.37306e+01   3.60000e+01   1.63296e+00   1.00143e+02   3.10000e+01
            37   3.39559e+01   3.70000e+01   1.67112e+00   1.00130e+02   3.11667e+01
            38   3.41789e+01   3.80000e+01   1.70915e+00   1.00120e+02   3.13333e+01
            39   3.44168e+01   3.90000e+01   1.74692e+00   1.00111e+02   3.15000e+01
            40   3.46603e+01   4.00000e+01   1.78254e+00   1.00103e+02   3.16667e+01
            41   3.48927e+01   4.10000e+01   1.81897e+00   1.00095e+02   3.18333e+01
            42   3.51121e+01   4.20000e+01   1.85534e+00   1.00088e+02   3.20000e+01
            43   3.53416e+01   4.30000e+01   1.89156e+00   1.00081e+02   3.21667e+01
            44   3.55903e+01   4.40000e+01   1.92603e+00   1.00077e+02   3.23333e+01
            45   3.58140e+01   4.50000e+01   1.96125e+00   1.00070e+02   3.25000e+01
