         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]       [Wg^-1]           [%]          [°C]
             0   2.71625e+01   0.00000e+00   3.40774e+00   1.01084e+02   2.50000e+01
             1   2.72393e+01   1.00000e+00   3.49698e+00   1.01031e+02   2.51667e+01
             2   2.73545e+01   2.00000e+00   3.57168e+00   1.00986e+02   2.53333e+01
             3   2.75140e+01   3.00000e+00   3.64670e+00   1.00943e+02   2.55000e+01
             4   2.76950e+01   4.00000e+00   3.79999e+00   1.00907e+02   2.56667e+01
             5   2.78972e+01   5.00000e+00   3.90395e+00   1.00891e+02   2.58333e+01
             6   2.80941e+01   6.00000e+00   4.00185e+00   1.00895e+02   2.60000e+01
             7   2.82894e+01   7.00000e+00   4.10214e+00   1.00913e+02   2.61667e+01
             8   2.84893e+01   8.00000e+00   4.25143e+00   1.00974e+02   2.63333e+01
             9   2.86963e+01   9.00000e+00   4.37962e+00   1.01004e+02   2.65000e+01
            10   2.89167e+01   1.00000e+01   4.50818e+00   1.01026e+02   2.66667e+01
            11   2.91221e+01   1.10000e+01   4.63875e+00   1.01056e+02   2.68333e+01
            12   2.93409e+01   1.20000e+01   4.80235e+00   1.01023e+02   2.70000e+01
            13   2.95671e+01   1.30000e+01   4.94888e+00   1.00998e+02   2.71667e+01
            14   2.97872e+01   1.40000e+01   5.09225e+00   1.00973e+02   2.73333e+01
            15   3.00128e+01   1.50000e+01   5.23636e+00   1.00948e+02   2.75000e+01
            16   3.02331e+01   1.60000e+01   5.39900e+00   1.00913e+02   2.76667e+01
            17   3.04496e+01   1.70000e+01   5.55226e+00   1.00898e+02   2.78333e+01
            18   3.06762e+01   1.80000e+01   5.70386e+00   1.00897e+02   2.80000e+01
            19   3.09093e+01   1.90000e+01   5.85538e+00   1.00933e+02   2.81667e+01
            20   3.11417e+01   2.00000e+01   6.01621e+00   1.00965e+02   2.83333e+01
            21   3.13673e+01   2.10000e+01   6.17132e+00   1.00975e+02   2.85000e+01
            22   3.15948e+01   2.20000e+01   6.32446e+00   1.00982e+02   2.86667e+01
            23   3.18298e+01   2.30000e+01   6.47717e+00   1.00969e+02   2.88333e+01
            24   3.20522e+01   2.40000e+01   6.63219e+00   1.00885e+02   2.90000e+01
            25   3.22778e+01   2.50000e+01   6.78629e+00   1.00837e+02   2.91667e+01
            26   3.25148e+01   2.60000e+01   6.93930e+00   1.00803e+02   2.93333e+01
            27   3.27397e+01   2.70000e+01   7.09163e+00   1.00777e+02   2.95000e+01
            28   3.29607e+01   2.80000e+01   7.24104e+00   1.00777e+02   2.96667e+01
            29   3.31805e+01   2.90000e+01   7.39139e+00   1.00779e+02   2.98333e+01
            30   3.34106e+01   3.00000e+01   7.54127e+00   1.00775e+02   3.00000e+01
            31   3.36365e+01   3.10000e+01   7.69050e+00   1.00767e+02   3.01667e+01
            32   3.38667e+01   3.20000e+01   7.83713e+00   1.00779e+02   3.03333e+01
            33   3.41102e+01   3.30000e+01   7.98443e+00   1.00769e+02   3.05000e+01
            34   3.43315e+01   3.40000e+01   8.13140e+00   1.00748e+02   3.06667e+01
            35   3.45519e+01   3.50000e+01   8.27843e+00   1.00721e+02   3.08333e+01
            36   3.47807e+01   3.60000e+01   8.41986e+00   1.00659e+02   3.10000e+01
            37   3.50066e+01   3.70000e+01   8.56306e+00   1.00624e+02   3.11667e+01
            38   3.52244e+01   3.80000e+01   8.70580e+00   1.00605e+02   3.13333e+01
            39   3.54506e+01   3.90000e+01   8.84816e+00   1.00596e+02   3.15000e+01
            40   3.56801e+01   4.00000e+01   8.98649e+00   1.00596e+02   3.16667e+01
            41   3.59119e+01   4.10000e+01   9.12645e+00   1.00592e+02   3.18333e+01
            42   3.61196e+01   4.20000e+01   9.26557e+00   1.00586e+02   3.20000e+01
            43   3.63582e+01   4.30000e+01   9.40407e+00   1.00579e+02   3.21667e+01
            44   3.65896e+01   4.40000e+01   9.53807e+00   1.00573e+02   3.23333e+01
            45   3.68078e+01   4.50000e+01   9.67388e+00   1.00557e+02   3.25000e+01
            46   3.70138e+01   4.60000e+01   9.80903e+00   1.00532e+02   3.26667e+01
            47   3.72417e+01   4.70000e+01   9.94316e+00   1.00498e+02   3.28333e+01
            48   3.74643e+01   4.80000e+01   1.00719e+01   1.00458e+02   3.30000e+01
            49   3.77026e+01   4.90000e+01   1.02025e+01   1.00435e+02   3.31667e+01
            50   3.79161e+01   5.00000e+01   1.03325e+01   1.00421e+02   3.33333e+01
            51   3.81346e+01   5.10000e+01   1.04619e+01   1.00412e+02   3.35000e+01
            52   3.83497e+01   5.20000e+01   1.05849e+01   1.00425e+02   3.36667e+01
            53   3.85753e+01   5.30000e+01   1.07103e+01   1.00432e+02   3.38333e+01
            54   3.87967e+01   5.40000e+01   1.08353e+01   1.00438e+02   3.40000e+01
            55   3.89995e+01   5.50000e+01   1.09594e+01   1.00439e+02   3.41667e+01
            56   3.92241e+01   5.60000e+01   1.10759e+01   1.00434e+02   3.43333e+01
            57   3.94422e+01   5.70000e+01   1.11954e+01   1.00419e+02   3.45000e+01
            58   3.96470e+01   5.80000e+01   1.13143e+01   1.00400e+02   3.46667e+01
            59   3.98683e+01   5.90000e+01   1.14323e+01   1.00379e+02   3.48333e+01
            60   4.00753e+01   6.00000e+01   1.15426e+01   1.00341e+02   3.50000e+01
            61   4.02882e+01   6.10000e+01   1.16559e+01   1.00319e+02   3.51667e+01
            62   4.04969e+01   6.20000e+01   1.17685e+01   1.00306e+02   3.53333e+01
            63   4.07169e+01   6.30000e+01   1.18803e+01   1.00296e+02   3.55000e+01
            64   4.09178e+01   6.40000e+01   1.19836e+01   1.00316e+02   3.56667e+01
            65   4.11330e+01   6.50000e+01   1.20901e+01   1.00327e+02   3.58333e+01
            66   4.13387e+01   6.60000e+01   1.21964e+01   1.00327e+02   3.60000e+01
            67   4.15412e+01   6.70000e+01   1.23022e+01   1.00320e+02   3.61667e+01
            68   4.17534e+01   6.80000e+01   1.23999e+01   1.00305e+02   3.63333e+01
            69   4.19562e+01   6.90000e+01   1.25013e+01   1.00278e+02   3.65000e+01
            70   4.21590e+01   7.00000e+01   1.26024e+01   1.00246e+02   3.66667e+01
            71   4.23579e+01   7.10000e+01   1.27026e+01   1.00212e+02   3.68333e+01
            72   4.25685e+01   7.20000e+01   1.27958e+01   1.00160e+02   3.70000e+01
            73   4.27619e+01   7.30000e+01   1.28925e+01   1.00138e+02   3.71667e+01
            74   4.29712e+01   7.40000e+01   1.29887e+01   1.00134e+02   3.73333e+01
            75   4.31694e+01   7.50000e+01   1.30838e+01   1.00142e+02   3.75000e+01
            76   4.33686e+01   7.60000e+01   1.31730e+01   1.00175e+02   3.76667e+01
            77   4.35776e+01   7.70000e+01   1.32644e+01   1.00178e+02   3.78333e+01
            78   4.37703e+01   7.80000e+01   1.33557e+01   1.00188e+02   3.80000e+01
            79   4.39686e+01   7.90000e+01   1.34462e+01   1.00230e+02   3.81667e+01
            80   4.41688e+01   8.00000e+01   1.35296e+01   1.00139e+02   3.83333e+01
            81   4.43742e+01   8.10000e+01   1.36156e+01   1.00091e+02   3.85000e+01
            82   4.45701e+01   8.20000e+01   1.37018e+01   1.00054e+02   3.86667e+01
            83   4.47589e+01   8.30000e+01   1.37873e+01   1.00021e+02   3.88333e+01
            84   4.49510e+01   8.40000e+01   1.38651e+01   9.99967e+01   3.90000e+01
            85   4.51473e+01   8.50000e+01   1.39462e+01   9.99911e+01   3.91667e+01
            86   4.53485e+01   8.60000e+01   1.40273e+01   9.99944e+01   3.93333e+01
            87   4.55409e+01   8.70000e+01   1.41079e+01   9.99982e+01   3.95000e+01
            88   4.57300e+01   8.80000e+01   1.41825e+01   1.00026e+02   3.96667e+01
            89   4.59207e+01   8.90000e+01   1.42592e+01   1.00025e+02   3.98333e+01
            90   4.61141e+01   9.00000e+01   1.43353e+01   1.00014e+02   4.00000e+01
            91   4.63149e+01   9.10000e+01   1.44104e+01   9.99995e+01   4.01667e+01
            92   4.64956e+01   9.20000e+01   1.44792e+01   9.99478e+01   4.03333e+01
            93   4.66883e+01   9.30000e+01   1.45499e+01   9.99145e+01   4.05000e+01
            94   4.68742e+01   9.40000e+01   1.46205e+01   9.98915e+01   4.06667e+01
            95   4.70601e+01   9.50000e+01   1.46906e+01   9.98730e+01   4.08333e+01
            96   4.72642e+01   9.60000e+01   1.47534e+01   9.98637e+01   4.10000e+01
