q[nm-1]	I(q)[sr-1]_Rocca_10m_eiger2_00013_00_00001_av_ave.h5_00001_[NS13_25C]_trm=0.871994	error
6.67967554e-03	1.00069766e+04	5.41926575e+00
7.14073004e-03	7.41713184e+03	2.99923825e+00
7.60178454e-03	5.58698682e+03	2.21096849e+00
8.06283858e-03	4.38015723e+03	1.75558698e+00
8.52389354e-03	3.45617773e+03	1.43817353e+00
8.98494758e-03	2.79796533e+03	1.21212721e+00
9.44600254e-03	2.29164062e+03	1.03593183e+00
9.90705658e-03	1.85482288e+03	8.83280098e-01
1.03681115e-02	1.52574585e+03	7.65105367e-01
1.08291656e-02	1.28791724e+03	6.76867008e-01
1.12902196e-02	1.08034473e+03	5.96254230e-01
1.17512746e-02	9.23562378e+02	5.32980382e-01
1.22123286e-02	7.85487732e+02	4.75259006e-01
1.26733836e-02	6.74800659e+02	4.27567422e-01
1.31344376e-02	5.83665894e+02	3.87160599e-01
1.35954916e-02	5.04791931e+02	3.50678384e-01
1.40565466e-02	4.40955078e+02	3.19809824e-01
1.45176006e-02	3.84437927e+02	2.91496694e-01
1.49786556e-02	3.37711975e+02	2.66981512e-01
1.54397096e-02	3.00440887e+02	2.46479586e-01
1.59007646e-02	2.66792999e+02	2.27431655e-01
1.63618177e-02	2.38460770e+02	2.10972756e-01
1.68228727e-02	2.12466064e+02	1.95401460e-01
1.72839276e-02	1.90156830e+02	1.81580558e-01
1.77449826e-02	1.70161331e+02	1.68796673e-01
1.82060357e-02	1.52663361e+02	1.54840127e-01
1.86670907e-02	1.37982498e+02	1.40541285e-01
1.91281457e-02	1.25304153e+02	1.29918516e-01
1.95891988e-02	1.12928566e+02	1.20724812e-01
2.00502537e-02	1.03361893e+02	1.14093505e-01
2.05113087e-02	9.45625687e+01	1.07744731e-01
2.09723637e-02	8.64235916e+01	1.01808034e-01
2.14334168e-02	7.96852722e+01	9.67077315e-02
2.18944717e-02	7.34469910e+01	9.16398019e-02
2.23555267e-02	6.83174057e+01	8.73161107e-02
2.28165798e-02	6.33355408e+01	8.29598829e-02
2.32776348e-02	5.82138138e+01	7.86415264e-02
2.37386897e-02	5.38859749e+01	7.48985782e-02
2.41997447e-02	5.02132797e+01	7.16280788e-02
2.46607978e-02	4.66334114e+01	6.83318824e-02
2.51218528e-02	4.35301933e+01	6.53744489e-02
2.55829077e-02	4.07408943e+01	6.26901910e-02
2.60439608e-02	3.81146927e+01	6.00494519e-02
2.65050158e-02	3.58318863e+01	5.76836839e-02
2.69660708e-02	3.37946663e+01	5.55576161e-02
2.74271239e-02	3.17346745e+01	5.33987693e-02
2.78881788e-02	2.96236629e+01	5.10959923e-02
2.83492338e-02	2.81806755e+01	4.94875722e-02
2.88102888e-02	2.64399509e+01	4.74971756e-02
2.92713419e-02	2.48590984e+01	4.57068868e-02
2.97323968e-02	2.35145969e+01	4.41117361e-02
3.01934518e-02	2.22828293e+01	4.26154882e-02
3.06545049e-02	2.11452179e+01	4.14677784e-02
3.11155599e-02	1.99882088e+01	4.08344083e-02
3.15766148e-02	1.89949913e+01	4.00639251e-02
3.20376679e-02	1.81488781e+01	3.92737016e-02
3.24987248e-02	1.73420258e+01	3.84416655e-02
3.29597779e-02	1.65619259e+01	3.76049243e-02
3.34208310e-02	1.58991652e+01	3.68293598e-02
3.38818878e-02	1.52197590e+01	3.59989032e-02
3.43429409e-02	1.44950848e+01	3.50720957e-02
3.48039940e-02	1.40634708e+01	3.45474705e-02
3.52650508e-02	1.35410414e+01	3.38617340e-02
3.57261039e-02	1.30112858e+01	3.31315733e-02
3.61871570e-02	1.25667191e+01	3.25041376e-02
3.66482139e-02	1.21402636e+01	3.18458267e-02
3.71092670e-02	1.18379240e+01	3.14185992e-02
3.75703238e-02	1.14386635e+01	3.08188144e-02
3.80313769e-02	1.11105881e+01	3.03275436e-02
3.84924300e-02	1.08206654e+01	2.98394468e-02
3.89534868e-02	1.05562725e+01	2.93966439e-02
3.94145399e-02	1.02264481e+01	2.88593583e-02
3.98755930e-02	1.00296726e+01	2.85083614e-02
4.03366499e-02	9.92384243e+00	2.82983277e-02
4.07977030e-02	9.77063656e+00	2.80096289e-02
4.12587561e-02	9.63825798e+00	2.77212355e-02
4.17198129e-02	9.45602036e+00	2.73649339e-02
4.21808660e-02	9.31786728e+00	2.70917807e-02
4.26419191e-02	9.20519447e+00	2.68443171e-02
4.31029759e-02	9.10743618e+00	2.66390387e-02
4.35640290e-02	9.06781578e+00	2.64955405e-02
4.40250821e-02	9.04427528e+00	2.63732225e-02
4.44861390e-02	9.02867317e+00	2.62837894e-02
4.49471921e-02	9.00523186e+00	2.61629522e-02
4.54082489e-02	9.01695728e+00	2.60679368e-02
4.58693020e-02	9.08830452e+00	2.61252522e-02
4.63303551e-02	9.02419853e+00	2.59496626e-02
4.67914119e-02	9.09660721e+00	2.59819236e-02
4.72524650e-02	9.14024639e+00	2.59428080e-02
4.77135181e-02	9.26021194e+00	2.60454826e-02
4.81745750e-02	9.38487816e+00	2.61172913e-02
4.86356281e-02	9.45682240e+00	2.56517194e-02
4.90966812e-02	9.52057743e+00	2.51945760e-02
4.95577380e-02	9.65650082e+00	2.50310898e-02
5.00187911e-02	9.75054741e+00	2.48265527e-02
5.04798442e-02	1.00129433e+01	2.53221802e-02
5.09409010e-02	1.01509962e+01	2.56865285e-02
5.14019541e-02	1.03242865e+01	2.59226467e-02
5.18630110e-02	1.05281439e+01	2.61649992e-02
5.23240641e-02	1.07550936e+01	2.64302976e-02
5.27851172e-02	1.09198847e+01	2.65811123e-02
5.32461740e-02	1.11127272e+01	2.67600231e-02
5.37072271e-02	1.13330622e+01	2.69623064e-02
5.41682802e-02	1.15214577e+01	2.71336846e-02
5.46293370e-02	1.17057657e+01	2.72545554e-02
5.50903901e-02	1.20456257e+01	2.76036523e-02
5.55514432e-02	1.22927580e+01	2.78123058e-02
5.60125001e-02	1.25321445e+01	2.75731143e-02
5.64735532e-02	1.27173481e+01	2.71743592e-02
5.69346063e-02	1.29825516e+01	2.71289796e-02
5.73956631e-02	1.31048918e+01	2.69315988e-02
5.78567162e-02	1.33811216e+01	2.69700475e-02
5.83177693e-02	1.36635761e+01	2.69918777e-02
5.87788261e-02	1.38675365e+01	2.69745439e-02
5.92398793e-02	1.40777254e+01	2.69591808e-02
5.97009361e-02	1.42426300e+01	2.68449597e-02
6.01619892e-02	1.44569340e+01	2.68199835e-02
6.06230423e-02	1.46807919e+01	2.68147290e-02
6.10840991e-02	1.48727465e+01	2.67664250e-02
6.15451522e-02	1.50035963e+01	2.66710911e-02
6.20062053e-02	1.51513872e+01	2.66058855e-02
6.24672621e-02	1.53258591e+01	2.65572183e-02
6.29283190e-02	1.53895931e+01	2.64267437e-02
6.33893684e-02	1.54037952e+01	2.62679663e-02
6.38504252e-02	1.55149508e+01	2.61959694e-02
6.43114820e-02	1.55723324e+01	2.60942373e-02
6.47725314e-02	1.55617199e+01	2.59550754e-02
6.52335882e-02	1.55489521e+01	2.58275308e-02
6.56946450e-02	1.55781355e+01	2.57343557e-02
