q[nm-1]	I(q)[sr-1]_Rocca_10m_eiger2_00001_00_00002_av_ave.h5_00001_[NS1_25C]_trm=0.873862	error
6.67967554e-03	2.39074531e+04	4.56254339e+00
7.14073004e-03	1.90298945e+04	2.62831807e+00
7.60178454e-03	1.51027842e+04	1.99977756e+00
8.06283858e-03	1.19059688e+04	1.59192586e+00
8.52389354e-03	9.55218164e+03	1.31502163e+00
8.98494758e-03	7.79100000e+03	1.11044121e+00
9.44600254e-03	6.41108984e+03	9.51049149e-01
9.90705658e-03	5.30016309e+03	8.21441233e-01
1.03681115e-02	4.44180420e+03	7.18163788e-01
1.08291656e-02	3.75710278e+03	6.35772109e-01
1.12902196e-02	3.19114038e+03	5.64814448e-01
1.17512746e-02	2.71312061e+03	5.01942277e-01
1.22123286e-02	2.34225659e+03	4.51911271e-01
1.26733836e-02	2.02646912e+03	4.08046633e-01
1.31344376e-02	1.75909875e+03	3.70197833e-01
1.35954916e-02	1.53100500e+03	3.36347759e-01
1.40565466e-02	1.33744934e+03	3.06618720e-01
1.45176006e-02	1.17181360e+03	2.80112565e-01
1.49786556e-02	1.03331921e+03	2.57080644e-01
1.54397096e-02	9.09783936e+02	2.35947892e-01
1.59007646e-02	8.07102478e+02	2.17768520e-01
1.63618177e-02	7.17195129e+02	2.01216742e-01
1.68228727e-02	6.43981750e+02	1.87370345e-01
1.72839276e-02	5.77597412e+02	1.74092695e-01
1.77449826e-02	5.20636047e+02	1.62458703e-01
1.82060357e-02	4.68288330e+02	1.49172679e-01
1.86670907e-02	4.22814789e+02	1.35435119e-01
1.91281457e-02	3.81040283e+02	1.24574579e-01
1.95891988e-02	3.45204468e+02	1.16171852e-01
2.00502537e-02	3.13794037e+02	1.09340861e-01
2.05113087e-02	2.86883881e+02	1.03269830e-01
2.09723637e-02	2.62689240e+02	9.76360217e-02
2.14334168e-02	2.40749207e+02	9.23518762e-02
2.18944717e-02	2.21908981e+02	8.76141563e-02
2.23555267e-02	2.05418884e+02	8.32808837e-02
2.28165798e-02	1.88873520e+02	7.87352100e-02
2.32776348e-02	1.73827560e+02	7.46961907e-02
2.37386897e-02	1.60130615e+02	7.09486753e-02
2.41997447e-02	1.48279770e+02	6.75669983e-02
2.46607978e-02	1.37428482e+02	6.44439459e-02
2.51218528e-02	1.27578392e+02	6.14985824e-02
2.55829077e-02	1.18887383e+02	5.88042215e-02
2.60439608e-02	1.10407417e+02	5.61110601e-02
2.65050158e-02	1.02693031e+02	5.36069907e-02
2.69660708e-02	9.58007126e+01	5.13450988e-02
2.74271239e-02	8.97284775e+01	4.92675677e-02
2.78881788e-02	8.42240067e+01	4.73419093e-02
2.83492338e-02	7.84292068e+01	4.52674367e-02
2.88102888e-02	7.33992233e+01	4.34335694e-02
2.92713419e-02	6.89281845e+01	4.17522565e-02
2.97323968e-02	6.50487747e+01	4.02520187e-02
3.01934518e-02	6.12674446e+01	3.87622789e-02
3.06545049e-02	5.78113060e+01	3.75978127e-02
3.11155599e-02	5.46230507e+01	3.70221734e-02
3.15766148e-02	5.17047234e+01	3.62374187e-02
3.20376679e-02	4.88908653e+01	3.53372209e-02
3.24987248e-02	4.62220955e+01	3.44008990e-02
3.29597779e-02	4.38525963e+01	3.35374661e-02
3.34208310e-02	4.15579796e+01	3.26279029e-02
3.38818878e-02	3.94094849e+01	3.17200348e-02
3.43429409e-02	3.75059166e+01	3.08986343e-02
3.48039940e-02	3.58295517e+01	3.01821977e-02
3.52650508e-02	3.41769600e+01	2.94402577e-02
3.57261039e-02	3.27623672e+01	2.87780166e-02
3.61871570e-02	3.12977810e+01	2.80606113e-02
3.66482139e-02	3.02947540e+01	2.75405981e-02
3.71092670e-02	2.96584225e+01	2.71859672e-02
3.75703238e-02	2.96265469e+01	2.70942841e-02
3.80313769e-02	3.08987370e+01	2.76153442e-02
3.84924300e-02	3.26633530e+01	2.83272956e-02
3.89534868e-02	3.35847435e+01	2.86377259e-02
3.94145399e-02	3.38597603e+01	2.86977794e-02
3.98755930e-02	3.29175453e+01	2.82277763e-02
4.03366499e-02	3.06790638e+01	2.71565802e-02
4.07977030e-02	2.83786182e+01	2.60462705e-02
4.12587561e-02	2.63092442e+01	2.50130948e-02
4.17198129e-02	2.44638691e+01	2.40521487e-02
4.21808660e-02	2.29342728e+01	2.32210923e-02
4.26419191e-02	2.16367359e+01	2.24858914e-02
4.31029759e-02	2.05555058e+01	2.18817312e-02
4.35640290e-02	1.93596268e+01	2.11612843e-02
