         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]       [Wg^-1]           [%]          [°C]
             0   2.84036e+01   0.00000e+00   9.27747e-01   1.00189e+02   2.50000e+01
             1   2.84654e+01   1.00000e+00   9.37270e-01   1.00179e+02   2.51667e+01
             2   2.85650e+01   2.00000e+00   9.45906e-01   1.00170e+02   2.53333e+01
             3   2.86855e+01   3.00000e+00   9.54885e-01   1.00161e+02   2.55000e+01
             4   2.88398e+01   4.00000e+00   9.72848e-01   1.00153e+02   2.56667e+01
             5   2.90019e+01   5.00000e+00   9.85498e-01   1.00149e+02   2.58333e+01
             6   2.91813e+01   6.00000e+00   9.97647e-01   1.00147e+02   2.60000e+01
             7   2.93554e+01   7.00000e+00   1.01017e+00   1.00149e+02   2.61667e+01
             8   2.95358e+01   8.00000e+00   1.03012e+00   1.00157e+02   2.63333e+01
             9   2.97083e+01   9.00000e+00   1.04680e+00   1.00159e+02   2.65000e+01
            10   2.99000e+01   1.00000e+01   1.06345e+00   1.00161e+02   2.66667e+01
            11   3.00979e+01   1.10000e+01   1.08042e+00   1.00164e+02   2.68333e+01
            12   3.02828e+01   1.20000e+01   1.10238e+00   1.00157e+02   2.70000e+01
            13   3.04814e+01   1.30000e+01   1.12160e+00   1.00152e+02   2.71667e+01
            14   3.06777e+01   1.40000e+01   1.14038e+00   1.00147e+02   2.73333e+01
            15   3.08659e+01   1.50000e+01   1.15933e+00   1.00141e+02   2.75000e+01
            16   3.10687e+01   1.60000e+01   1.18124e+00   1.00135e+02   2.76667e+01
            17   3.12614e+01   1.70000e+01   1.20168e+00   1.00134e+02   2.78333e+01
            18   3.14726e+01   1.80000e+01   1.22179e+00   1.00134e+02   2.80000e+01
            19   3.16787e+01   1.90000e+01   1.24185e+00   1.00135e+02   2.81667e+01
            20   3.18737e+01   2.00000e+01   1.26316e+00   1.00138e+02   2.83333e+01
            21   3.20719e+01   2.10000e+01   1.28375e+00   1.00138e+02   2.85000e+01
            22   3.22705e+01   2.20000e+01   1.30416e+00   1.00139e+02   2.86667e+01
            23   3.24762e+01   2.30000e+01   1.32451e+00   1.00129e+02   2.88333e+01
            24   3.26904e+01   2.40000e+01   1.34532e+00   1.00112e+02   2.90000e+01
            25   3.28913e+01   2.50000e+01   1.36589e+00   1.00101e+02   2.91667e+01
            26   3.30938e+01   2.60000e+01   1.38632e+00   1.00092e+02   2.93333e+01
            27   3.32949e+01   2.70000e+01   1.40672e+00   1.00085e+02   2.95000e+01
            28   3.34935e+01   2.80000e+01   1.42664e+00   1.00084e+02   2.96667e+01
            29   3.36852e+01   2.90000e+01   1.44680e+00   1.00083e+02   2.98333e+01
            30   3.39066e+01   3.00000e+01   1.46690e+00   1.00081e+02   3.00000e+01
            31   3.41068e+01   3.10000e+01   1.48701e+00   1.00078e+02   3.01667e+01
            32   3.43154e+01   3.20000e+01   1.50686e+00   1.00079e+02   3.03333e+01
            33   3.45300e+01   3.30000e+01   1.52662e+00   1.00075e+02   3.05000e+01
            34   3.47289e+01   3.40000e+01   1.54631e+00   1.00070e+02   3.06667e+01
            35   3.49317e+01   3.50000e+01   1.56603e+00   1.00064e+02   3.08333e+01
            36   3.51403e+01   3.60000e+01   1.58524e+00   1.00051e+02   3.10000e+01
            37   3.53451e+01   3.70000e+01   1.60465e+00   1.00042e+02   3.11667e+01
            38   3.55479e+01   3.80000e+01   1.62409e+00   1.00037e+02   3.13333e+01
            39   3.57455e+01   3.90000e+01   1.64342e+00   1.00033e+02   3.15000e+01
            40   3.59639e+01   4.00000e+01   1.66217e+00   1.00031e+02   3.16667e+01
            41   3.61582e+01   4.10000e+01   1.68117e+00   1.00027e+02   3.18333e+01
            42   3.63555e+01   4.20000e+01   1.70015e+00   1.00023e+02   3.20000e+01
            43   3.65726e+01   4.30000e+01   1.71903e+00   1.00018e+02   3.21667e+01
            44   3.67826e+01   4.40000e+01   1.73737e+00   1.00013e+02   3.23333e+01
            45   3.69870e+01   4.50000e+01   1.75578e+00   1.00007e+02   3.25000e+01
            46   3.71915e+01   4.60000e+01   1.77415e+00   9.99994e+01   3.26667e+01
            47   3.73988e+01   4.70000e+01   1.79248e+00   9.99911e+01   3.28333e+01
            48   3.75984e+01   4.80000e+01   1.81003e+00   9.99820e+01   3.30000e+01
            49   3.78073e+01   4.90000e+01   1.82789e+00   9.99755e+01   3.31667e+01
            50   3.80069e+01   5.00000e+01   1.84569e+00   9.99703e+01   3.33333e+01
            51   3.82159e+01   5.10000e+01   1.86345e+00   9.99658e+01   3.35000e+01
            52   3.84030e+01   5.20000e+01   1.88035e+00   9.99650e+01   3.36667e+01
            53   3.86065e+01   5.30000e+01   1.89760e+00   9.99629e+01   3.38333e+01
            54   3.88025e+01   5.40000e+01   1.91486e+00   9.99604e+01   3.40000e+01
            55   3.90150e+01   5.50000e+01   1.93208e+00   9.99572e+01   3.41667e+01
            56   3.92097e+01   5.60000e+01   1.94852e+00   9.99519e+01   3.43333e+01
            57   3.94190e+01   5.70000e+01   1.96511e+00   9.99452e+01   3.45000e+01
            58   3.96020e+01   5.80000e+01   1.98158e+00   9.99377e+01   3.46667e+01
            59   3.98122e+01   5.90000e+01   1.99789e+00   9.99298e+01   3.48333e+01
            60   4.00075e+01   6.00000e+01   2.01314e+00   9.99191e+01   3.50000e+01
            61   4.02097e+01   6.10000e+01   2.02877e+00   9.99119e+01   3.51667e+01
            62   4.04076e+01   6.20000e+01   2.04439e+00   9.99065e+01   3.53333e+01
            63   4.06140e+01   6.30000e+01   2.05991e+00   9.99019e+01   3.55000e+01
            64   4.08015e+01   6.40000e+01   2.07414e+00   9.99033e+01   3.56667e+01
            65   4.09945e+01   6.50000e+01   2.08885e+00   9.99023e+01   3.58333e+01
            66   4.11879e+01   6.60000e+01   2.10356e+00   9.98990e+01   3.60000e+01
            67   4.13793e+01   6.70000e+01   2.11826e+00   9.98942e+01   3.61667e+01
            68   4.15704e+01   6.80000e+01   2.13152e+00   9.98875e+01   3.63333e+01
            69   4.17657e+01   6.90000e+01   2.14546e+00   9.98791e+01   3.65000e+01
            70   4.19519e+01   7.00000e+01   2.15951e+00   9.98698e+01   3.66667e+01
            71   4.21596e+01   7.10000e+01   2.17347e+00   9.98604e+01   3.68333e+01
            72   4.23370e+01   7.20000e+01   2.18653e+00   9.98473e+01   3.70000e+01
            73   4.25300e+01   7.30000e+01   2.19986e+00   9.98397e+01   3.71667e+01
            74   4.27162e+01   7.40000e+01   2.21313e+00   9.98356e+01   3.73333e+01
            75   4.29128e+01   7.50000e+01   2.22629e+00   9.98339e+01   3.75000e+01
            76   4.31029e+01   7.60000e+01   2.23857e+00   9.98363e+01   3.76667e+01
            77   4.32862e+01   7.70000e+01   2.25107e+00   9.98332e+01   3.78333e+01
            78   4.34802e+01   7.80000e+01   2.26354e+00   9.98313e+01   3.80000e+01
            79   4.36729e+01   7.90000e+01   2.27599e+00   9.98359e+01   3.81667e+01
            80   4.38630e+01   8.00000e+01   2.28742e+00   9.98134e+01   3.83333e+01
            81   4.40437e+01   8.10000e+01   2.29923e+00   9.97994e+01   3.85000e+01
            82   4.42322e+01   8.20000e+01   2.31092e+00   9.97875e+01   3.86667e+01
            83   4.44151e+01   8.30000e+01   2.32247e+00   9.97763e+01   3.88333e+01
            84   4.45974e+01   8.40000e+01   2.33293e+00   9.97662e+01   3.90000e+01
            85   4.47742e+01   8.50000e+01   2.34395e+00   9.97599e+01   3.91667e+01
            86   4.49600e+01   8.60000e+01   2.35499e+00   9.97554e+01   3.93333e+01
            87   4.51469e+01   8.70000e+01   2.36588e+00   9.97511e+01   3.95000e+01
            88   4.53311e+01   8.80000e+01   2.37583e+00   9.97515e+01   3.96667e+01
            89   4.55138e+01   8.90000e+01   2.38612e+00   9.97462e+01   3.98333e+01
            90   4.56954e+01   9.00000e+01   2.39646e+00   9.97389e+01   4.00000e+01
            91   4.58657e+01   9.10000e+01   2.40670e+00   9.97307e+01   4.01667e+01
            92   4.60554e+01   9.20000e+01   2.41583e+00   9.97154e+01   4.03333e+01
            93   4.62410e+01   9.30000e+01   2.42545e+00   9.97037e+01   4.05000e+01
            94   4.64259e+01   9.40000e+01   2.43516e+00   9.96938e+01   4.06667e+01
            95   4.66007e+01   9.50000e+01   2.44479e+00   9.96849e+01   4.08333e+01
            96   4.67745e+01   9.60000e+01   2.45332e+00   9.96779e+01   4.10000e+01
            97   4.69477e+01   9.70000e+01   2.46228e+00   9.96718e+01   4.11667e+01
            98   4.71378e+01   9.80000e+01   2.47126e+00   9.96664e+01   4.13333e+01
            99   4.73175e+01   9.90000e+01   2.48012e+00   9.96612e+01   4.15000e+01
           100   4.74946e+01   1.00000e+02   2.48818e+00   9.96585e+01   4.16667e+01
           101   4.76684e+01   1.01000e+02   2.49643e+00   9.96529e+01   4.18333e+01
           102   4.78549e+01   1.02000e+02   2.50463e+00   9.96463e+01   4.20000e+01
           103   4.80326e+01   1.03000e+02   2.51285e+00   9.96392e+01   4.21667e+01
           104   4.82035e+01   1.04000e+02   2.52027e+00   9.96289e+01   4.23333e+01
           105   4.83702e+01   1.05000e+02   2.52805e+00   9.96204e+01   4.25000e+01
           106   4.85642e+01   1.06000e+02   2.53582e+00   9.96126e+01   4.26667e+01
           107   4.87296e+01   1.07000e+02   2.54350e+00   9.96051e+01   4.28333e+01
           108   4.89021e+01   1.08000e+02   2.55028e+00   9.95994e+01   4.30000e+01
           109   4.90743e+01   1.09000e+02   2.55746e+00   9.95939e+01   4.31667e+01
           110   4.92413e+01   1.10000e+02   2.56473e+00   9.95891e+01   4.33333e+01
           111   4.94269e+01   1.11000e+02   2.57197e+00   9.95847e+01   4.35000e+01
           112   4.96147e+01   1.12000e+02   2.57869e+00   9.95805e+01   4.36667e+01
