q[nm-1]	I(q)[sr-1]_Rocca_10m_eiger2_00014_00_00001_av_ave.h5_00001_[NS14_25C]_trm=0.858035	error
6.67967554e-03	1.79786699e+04	7.27044582e+00
7.14073004e-03	1.43592871e+04	4.19784689e+00
7.60178454e-03	1.12469092e+04	3.16151953e+00
8.06283858e-03	8.84559570e+03	2.51740885e+00
8.52389354e-03	7.05576660e+03	2.07203531e+00
8.98494758e-03	5.76272168e+03	1.75240588e+00
9.44600254e-03	4.70630859e+03	1.49546504e+00
9.90705658e-03	3.87056372e+03	1.28877079e+00
1.03681115e-02	3.22164990e+03	1.12170827e+00
1.08291656e-02	2.72948779e+03	9.95226026e-01
1.12902196e-02	2.28838965e+03	8.77493262e-01
1.17512746e-02	1.94598987e+03	7.80133605e-01
1.22123286e-02	1.66751038e+03	6.99405074e-01
1.26733836e-02	1.42207385e+03	6.26341701e-01
1.31344376e-02	1.23294397e+03	5.67906320e-01
1.35954916e-02	1.07730847e+03	5.17438829e-01
1.40565466e-02	9.39651489e+02	4.71456707e-01
1.45176006e-02	8.23864746e+02	4.30907071e-01
1.49786556e-02	7.25891541e+02	3.94883186e-01
1.54397096e-02	6.42185913e+02	3.63811672e-01
1.59007646e-02	5.70981750e+02	3.36057603e-01
1.63618177e-02	5.08277527e+02	3.10479283e-01
1.68228727e-02	4.56899109e+02	2.89213449e-01
1.72839276e-02	4.12156555e+02	2.69681722e-01
1.77449826e-02	3.70226135e+02	2.51200765e-01
1.82060357e-02	3.33908905e+02	2.31214792e-01
1.86670907e-02	3.01569275e+02	2.09793061e-01
1.91281457e-02	2.73475647e+02	1.93519443e-01
1.95891988e-02	2.49884186e+02	1.81174397e-01
2.00502537e-02	2.28077759e+02	1.71028107e-01
2.05113087e-02	2.08087616e+02	1.61282793e-01
2.09723637e-02	1.90971588e+02	1.52667180e-01
2.14334168e-02	1.75465057e+02	1.44597888e-01
2.18944717e-02	1.61604736e+02	1.37159973e-01
2.23555267e-02	1.49335892e+02	1.30166978e-01
2.28165798e-02	1.38385803e+02	1.23582445e-01
2.32776348e-02	1.28104645e+02	1.17605880e-01
2.37386897e-02	1.18791710e+02	1.12110838e-01
2.41997447e-02	1.10434219e+02	1.06931448e-01
2.46607978e-02	1.02873825e+02	1.02230653e-01
2.51218528e-02	9.58359070e+01	9.77908671e-02
2.55829077e-02	8.95343781e+01	9.35715586e-02
2.60439608e-02	8.38753204e+01	8.97218436e-02
