         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]       [Wg^-1]           [%]          [°C]
             0   4.41201e+01   0.00000e+00   9.25151e+00   1.00299e+02   2.50000e+01
             1   4.48975e+01   1.00000e+00   9.52186e+00   1.00251e+02   2.51667e+01
             2   4.56774e+01   2.00000e+00   9.85224e+00   1.00213e+02   2.53333e+01
             3   4.64437e+01   3.00000e+00   1.02088e+01   1.00175e+02   2.55000e+01
             4   4.71966e+01   4.00000e+00   1.05351e+01   1.00131e+02   2.56667e+01
             5   4.79372e+01   5.00000e+00   1.08392e+01   1.00096e+02   2.58333e+01
             6   4.86615e+01   6.00000e+00   1.11290e+01   1.00065e+02   2.60000e+01
             7   4.93701e+01   7.00000e+00   1.14095e+01   1.00030e+02   2.61667e+01
             8   5.00378e+01   8.00000e+00   1.16940e+01   1.00026e+02   2.63333e+01
             9   5.07035e+01   9.00000e+00   1.19844e+01   1.00005e+02   2.65000e+01
            10   5.13604e+01   1.00000e+01   1.22796e+01   9.99853e+01   2.66667e+01
            11   5.19782e+01   1.10000e+01   1.25712e+01   9.99770e+01   2.68333e+01
            12   5.25872e+01   1.20000e+01   1.28032e+01   9.99193e+01   2.70000e+01
            13   5.31722e+01   1.30000e+01   1.30589e+01   9.98752e+01   2.71667e+01
            14   5.37510e+01   1.40000e+01   1.33207e+01   9.98331e+01   2.73333e+01
            15   5.43063e+01   1.50000e+01   1.35717e+01   9.97916e+01   2.75000e+01
            16   5.48509e+01   1.60000e+01   1.37723e+01   9.97454e+01   2.76667e+01
            17   5.53871e+01   1.70000e+01   1.39904e+01   9.97009e+01   2.78333e+01
            18   5.59131e+01   1.80000e+01   1.42068e+01   9.96661e+01   2.80000e+01
            19   5.64102e+01   1.90000e+01   1.44203e+01   9.96509e+01   2.81667e+01
            20   5.68952e+01   2.00000e+01   1.45913e+01   9.96383e+01   2.83333e+01
            21   5.73626e+01   2.10000e+01   1.47837e+01   9.96179e+01   2.85000e+01
            22   5.78229e+01   2.20000e+01   1.49801e+01   9.96016e+01   2.86667e+01
            23   5.82777e+01   2.30000e+01   1.51673e+01   9.95735e+01   2.88333e+01
            24   5.87080e+01   2.40000e+01   1.53104e+01   9.95055e+01   2.90000e+01
            25   5.91361e+01   2.50000e+01   1.54749e+01   9.94575e+01   2.91667e+01
            26   5.95544e+01   2.60000e+01   1.56442e+01   9.94159e+01   2.93333e+01
            27   5.99561e+01   2.70000e+01   1.58051e+01   9.93773e+01   2.95000e+01
            28   6.03402e+01   2.80000e+01   1.59233e+01   9.93346e+01   2.96667e+01
            29   6.07279e+01   2.90000e+01   1.60587e+01   9.93023e+01   2.98333e+01
            30   6.10896e+01   3.00000e+01   1.61932e+01   9.92877e+01   3.00000e+01
            31   6.14408e+01   3.10000e+01   1.63244e+01   9.92711e+01   3.01667e+01
            32   6.17904e+01   3.20000e+01   1.64197e+01   9.92538e+01   3.03333e+01
            33   6.21195e+01   3.30000e+01   1.65318e+01   9.92294e+01   3.05000e+01
            34   6.24359e+01   3.40000e+01   1.66476e+01   9.92019e+01   3.06667e+01
            35   6.27702e+01   3.50000e+01   1.67681e+01   9.91723e+01   3.08333e+01
            36   6.30707e+01   3.60000e+01   1.68353e+01   9.91293e+01   3.10000e+01
            37   6.33653e+01   3.70000e+01   1.69316e+01   9.90943e+01   3.11667e+01
            38   6.36524e+01   3.80000e+01   1.70278e+01   9.90642e+01   3.13333e+01
            39   6.39411e+01   3.90000e+01   1.71281e+01   9.90377e+01   3.15000e+01
            40   6.42071e+01   4.00000e+01   1.71770e+01   9.90148e+01   3.16667e+01
            41   6.44730e+01   4.10000e+01   1.72545e+01   9.89924e+01   3.18333e+01
            42   6.47298e+01   4.20000e+01   1.73286e+01   9.89712e+01   3.20000e+01
            43   6.49851e+01   4.30000e+01   1.73998e+01   9.89504e+01   3.21667e+01
            44   6.52185e+01   4.40000e+01   1.74382e+01   9.89347e+01   3.23333e+01
            45   6.54505e+01   4.50000e+01   1.74922e+01   9.89143e+01   3.25000e+01
            46   6.56784e+01   4.60000e+01   1.75512e+01   9.88908e+01   3.26667e+01
            47   6.58942e+01   4.70000e+01   1.76154e+01   9.88648e+01   3.28333e+01
            48   6.61026e+01   4.80000e+01   1.76376e+01   9.88372e+01   3.30000e+01
            49   6.63015e+01   4.90000e+01   1.76750e+01   9.88142e+01   3.31667e+01
            50   6.65017e+01   5.00000e+01   1.77141e+01   9.87936e+01   3.33333e+01
            51   6.66794e+01   5.10000e+01   1.77518e+01   9.87745e+01   3.35000e+01
            52   6.68656e+01   5.20000e+01   1.77695e+01   9.87630e+01   3.36667e+01
            53   6.70557e+01   5.30000e+01   1.77948e+01   9.87518e+01   3.38333e+01
            54   6.72309e+01   5.40000e+01   1.78199e+01   9.87418e+01   3.40000e+01
            55   6.73855e+01   5.50000e+01   1.78433e+01   9.87315e+01   3.41667e+01
            56   6.75492e+01   5.60000e+01   1.78471e+01   9.87233e+01   3.43333e+01
            57   6.76833e+01   5.70000e+01   1.78582e+01   9.87094e+01   3.45000e+01
            58   6.78383e+01   5.80000e+01   1.78692e+01   9.86929e+01   3.46667e+01
            59   6.79848e+01   5.90000e+01   1.78788e+01   9.86754e+01   3.48333e+01
            60   6.81156e+01   6.00000e+01   1.78700e+01   9.86513e+01   3.50000e+01
            61   6.82387e+01   6.10000e+01   1.78686e+01   9.86329e+01   3.51667e+01
            62   6.83695e+01   6.20000e+01   1.78669e+01   9.86177e+01   3.53333e+01
            63   6.84747e+01   6.30000e+01   1.78636e+01   9.86045e+01   3.55000e+01
            64   6.85896e+01   6.40000e+01   1.78430e+01   9.86012e+01   3.56667e+01
            65   6.86983e+01   6.50000e+01   1.78295e+01   9.85967e+01   3.58333e+01
            66   6.87943e+01   6.60000e+01   1.78157e+01   9.85905e+01   3.60000e+01
            67   6.88985e+01   6.70000e+01   1.78006e+01   9.85828e+01   3.61667e+01
            68   6.89942e+01   6.80000e+01   1.77694e+01   9.85771e+01   3.63333e+01
            69   6.90805e+01   6.90000e+01   1.77445e+01   9.85648e+01   3.65000e+01
            70   6.91658e+01   7.00000e+01   1.77194e+01   9.85495e+01   3.66667e+01
            71   6.92328e+01   7.10000e+01   1.76930e+01   9.85329e+01   3.68333e+01
            72   6.93093e+01   7.20000e+01   1.76517e+01   9.85091e+01   3.70000e+01
            73   6.93910e+01   7.30000e+01   1.76166e+01   9.84949e+01   3.71667e+01
            74   6.94425e+01   7.40000e+01   1.75812e+01   9.84830e+01   3.73333e+01
            75   6.95092e+01   7.50000e+01   1.75446e+01   9.84682e+01   3.75000e+01
            76   6.95616e+01   7.60000e+01   1.74938e+01   9.84802e+01   3.76667e+01
            77   6.96147e+01   7.70000e+01   1.74487e+01   9.84786e+01   3.78333e+01
            78   6.96560e+01   7.80000e+01   1.74034e+01   9.84728e+01   3.80000e+01
            79   6.97026e+01   7.90000e+01   1.73571e+01   9.84656e+01   3.81667e+01
            80   6.97436e+01   8.00000e+01   1.72983e+01   9.84540e+01   3.83333e+01
            81   6.97944e+01   8.10000e+01   1.72447e+01   9.84415e+01   3.85000e+01
            82   6.98171e+01   8.20000e+01   1.71909e+01   9.84282e+01   3.86667e+01
            83   6.98468e+01   8.30000e+01   1.71360e+01   9.84152e+01   3.88333e+01
            84   6.98617e+01   8.40000e+01   1.70691e+01   9.84017e+01   3.90000e+01
            85   6.98832e+01   8.50000e+01   1.70072e+01   9.83943e+01   3.91667e+01
            86   6.99073e+01   8.60000e+01   1.69454e+01   9.83899e+01   3.93333e+01
            87   6.99194e+01   8.70000e+01   1.68826e+01   9.83860e+01   3.95000e+01
            88   6.99343e+01   8.80000e+01   1.68093e+01   9.83883e+01   3.96667e+01
            89   6.99558e+01   8.90000e+01   1.67400e+01   9.83842e+01   3.98333e+01
            90   6.99555e+01   9.00000e+01   1.66706e+01   9.83781e+01   4.00000e+01
            91   6.99633e+01   9.10000e+01   1.66004e+01   9.83714e+01   4.01667e+01
            92   6.99535e+01   9.20000e+01   1.65201e+01   9.83570e+01   4.03333e+01
            93   6.99604e+01   9.30000e+01   1.64440e+01   9.83453e+01   4.05000e+01
            94   6.99552e+01   9.40000e+01   1.63677e+01   9.83353e+01   4.06667e+01
            95   6.99529e+01   9.50000e+01   1.62906e+01   9.83259e+01   4.08333e+01
            96   6.99389e+01   9.60000e+01   1.62041e+01   9.83174e+01   4.10000e+01
            97   6.99197e+01   9.70000e+01   1.61212e+01   9.83104e+01   4.11667e+01
            98   6.99047e+01   9.80000e+01   1.60383e+01   9.83043e+01   4.13333e+01
            99   6.98933e+01   9.90000e+01   1.59547e+01   9.82990e+01   4.15000e+01
           100   6.98673e+01   1.00000e+02   1.58625e+01   9.82975e+01   4.16667e+01
           101   6.98555e+01   1.01000e+02   1.57739e+01   9.82936e+01   4.18333e+01
           102   6.98252e+01   1.02000e+02   1.56852e+01   9.82893e+01   4.20000e+01
           103   6.97937e+01   1.03000e+02   1.55958e+01   9.82849e+01   4.21667e+01
           104   6.97608e+01   1.04000e+02   1.54982e+01   9.82788e+01   4.23333e+01
           105   6.97283e+01   1.05000e+02   1.54041e+01   9.82729e+01   4.25000e+01
           106   6.96908e+01   1.06000e+02   1.53098e+01   9.82668e+01   4.26667e+01
           107   6.96566e+01   1.07000e+02   1.52148e+01   9.82602e+01   4.28333e+01
           108   6.96179e+01   1.08000e+02   1.51127e+01   9.82533e+01   4.30000e+01
           109   6.95811e+01   1.09000e+02   1.50134e+01   9.82481e+01   4.31667e+01
