q[nm-1]	I(q)[sr-1]_Rocca_10m_eiger2_00012_00_00001_av_ave.h5_00001_[NS12_25C]_trm=0.861327	error
6.67967554e-03	2.35941758e+04	8.28881931e+00
7.14073004e-03	1.88300371e+04	4.79120159e+00
7.60178454e-03	1.46165371e+04	3.59033823e+00
8.06283858e-03	1.15167998e+04	2.86180639e+00
8.52389354e-03	9.24721680e+03	2.36823869e+00
8.98494758e-03	7.49102344e+03	1.99194980e+00
9.44600254e-03	6.10873535e+03	1.69896197e+00
9.90705658e-03	5.07305127e+03	1.47237813e+00
1.03681115e-02	4.26423389e+03	1.28741097e+00
1.08291656e-02	3.59938354e+03	1.13851357e+00
1.12902196e-02	3.04164502e+03	1.00863194e+00
1.17512746e-02	2.59109180e+03	8.97841096e-01
1.22123286e-02	2.22394873e+03	8.05746555e-01
1.26733836e-02	1.92535901e+03	7.27695346e-01
1.31344376e-02	1.66737659e+03	6.58848584e-01
1.35954916e-02	1.45760413e+03	6.00408196e-01
1.40565466e-02	1.27676990e+03	5.47818124e-01
1.45176006e-02	1.12460034e+03	5.01939297e-01
1.49786556e-02	9.96733215e+02	4.61730093e-01
1.54397096e-02	8.89342773e+02	4.27075297e-01
1.59007646e-02	7.93452759e+02	3.95054698e-01
1.63618177e-02	7.09661499e+02	3.66191357e-01
1.68228727e-02	6.35872437e+02	3.40395659e-01
1.72839276e-02	5.72152649e+02	3.17011505e-01
1.77449826e-02	5.16311829e+02	2.95916706e-01
1.82060357e-02	4.66336487e+02	2.72269875e-01
1.86670907e-02	4.24688782e+02	2.48100638e-01
1.91281457e-02	3.87218964e+02	2.29704469e-01
1.95891988e-02	3.52844604e+02	2.14698866e-01
2.00502537e-02	3.23496216e+02	2.03128129e-01
2.05113087e-02	2.94899902e+02	1.91388831e-01
2.09723637e-02	2.70211670e+02	1.80966318e-01
2.14334168e-02	2.48724945e+02	1.71636716e-01
2.18944717e-02	2.29110199e+02	1.62683755e-01
2.23555267e-02	2.12948578e+02	1.55002028e-01
2.28165798e-02	1.97176361e+02	1.47017539e-01
2.32776348e-02	1.83035507e+02	1.40166596e-01
2.37386897e-02	1.69478973e+02	1.33465186e-01
2.41997447e-02	1.57634552e+02	1.27356455e-01
2.46607978e-02	1.47282135e+02	1.21956669e-01
2.51218528e-02	1.37362640e+02	1.16648600e-01
2.55829077e-02	1.28211853e+02	1.11643873e-01
2.60439608e-02	1.19537949e+02	1.06765114e-01
2.65050158e-02	1.11756676e+02	1.02277145e-01
2.69660708e-02	1.05031334e+02	9.83259752e-02
2.74271239e-02	9.86241150e+01	9.44668278e-02
2.78881788e-02	9.23950653e+01	9.05674174e-02
2.83492338e-02	8.73132477e+01	8.73213857e-02
2.88102888e-02	8.26022491e+01	8.42365026e-02
2.92713419e-02	7.81316605e+01	8.13108683e-02
2.97323968e-02	7.37925034e+01	7.84002692e-02
3.01934518e-02	6.97631760e+01	7.55972937e-02
3.06545049e-02	6.62440033e+01	7.35703260e-02
3.11155599e-02	6.31201096e+01	7.27827996e-02
3.15766148e-02	6.04377060e+01	7.16607198e-02
3.20376679e-02	5.77558594e+01	7.02055246e-02
3.24987248e-02	5.53399887e+01	6.88008741e-02
3.29597779e-02	5.32061768e+01	6.75741881e-02
3.34208310e-02	5.09996910e+01	6.60966262e-02
3.38818878e-02	4.91452942e+01	6.47553578e-02
3.43429409e-02	4.74128647e+01	6.35384545e-02
3.48039940e-02	4.57222672e+01	6.23094030e-02
3.52650508e-02	4.46369133e+01	6.15379736e-02
3.57261039e-02	4.34393158e+01	6.05809577e-02
3.61871570e-02	4.23143578e+01	5.96112385e-02
3.66482139e-02	4.16772842e+01	5.90481982e-02
3.71092670e-02	4.06256256e+01	5.81228249e-02
3.75703238e-02	3.99674149e+01	5.75610474e-02
3.80313769e-02	3.93540573e+01	5.70094995e-02
3.84924300e-02	3.91129456e+01	5.67026921e-02
3.89534868e-02	3.89705009e+01	5.64189442e-02
3.94145399e-02	3.89739151e+01	5.62642813e-02
3.98755930e-02	3.92136497e+01	5.62879816e-02
4.03366499e-02	3.93288155e+01	5.62112704e-02
4.07977030e-02	3.98358650e+01	5.64329028e-02
4.12587561e-02	4.05660477e+01	5.67051247e-02
4.17198129e-02	4.13885231e+01	5.70802912e-02
4.21808660e-02	4.24243317e+01	5.76326549e-02
4.26419191e-02	4.34587631e+01	5.81431910e-02
4.31029759e-02	4.48034019e+01	5.88778853e-02
4.35640290e-02	4.65017319e+01	5.97884730e-02
4.40250821e-02	4.84278450e+01	6.08460382e-02
4.44861390e-02	5.01561203e+01	6.17084615e-02
4.49471921e-02	5.23408585e+01	6.28376752e-02
4.54082489e-02	5.45810623e+01	6.39419481e-02
4.58693020e-02	5.67165451e+01	6.49671778e-02
4.63303551e-02	5.91639938e+01	6.61686957e-02
4.67914119e-02	6.14905586e+01	6.72249198e-02
4.72524650e-02	6.37791138e+01	6.82471618e-02
4.77135181e-02	6.63063202e+01	6.93336502e-02
4.81745750e-02	6.86854858e+01	7.02955872e-02
4.86356281e-02	7.07809296e+01	6.98582828e-02
4.90966812e-02	7.28033142e+01	6.94089681e-02
4.95577380e-02	7.47960205e+01	6.93312809e-02
5.00187911e-02	7.65863419e+01	6.93487525e-02
5.04798442e-02	7.78422852e+01	7.02823624e-02
5.09409010e-02	7.86669693e+01	7.12289959e-02
5.14019541e-02	7.92135696e+01	7.15362802e-02
5.18630110e-02	7.97890244e+01	7.18002170e-02
5.23240641e-02	7.97564926e+01	7.17155933e-02
5.27851172e-02	7.95601730e+01	7.15508088e-02
5.32461740e-02	7.90640869e+01	7.11947009e-02
5.37072271e-02	7.80350800e+01	7.05403909e-02
5.41682802e-02	7.68281860e+01	6.98904023e-02
5.46293370e-02	7.54252777e+01	6.91014677e-02
5.50903901e-02	7.35098953e+01	6.80097789e-02
5.55514432e-02	7.15096130e+01	6.69041872e-02
5.60125001e-02	6.95475464e+01	6.48631081e-02
5.64735532e-02	6.71516724e+01	6.23801127e-02
5.69346063e-02	6.48705902e+01	6.05519898e-02
5.73956631e-02	6.19695244e+01	5.85189462e-02
5.78567162e-02	5.94581985e+01	5.67994043e-02
5.83177693e-02	5.67344055e+01	5.49605489e-02
5.87788261e-02	5.40300789e+01	5.32407574e-02
5.92398793e-02	5.12776375e+01	5.14348075e-02
5.97009361e-02	4.85897255e+01	4.96270135e-02
