q[nm-1]	I(q)[sr-1]_Rocca_10m_eiger2_00010_00_00001_av_ave.h5_00001_[NS10_25C]_trm=0.871692	error
6.67967554e-03	2.70549375e+04	8.81293964e+00
7.14073004e-03	2.17941934e+04	5.12669230e+00
7.60178454e-03	1.69920254e+04	3.85732508e+00
8.06283858e-03	1.34606621e+04	3.08049703e+00
8.52389354e-03	1.08058398e+04	2.54338765e+00
8.98494758e-03	8.70279102e+03	2.13421154e+00
9.44600254e-03	7.14493848e+03	1.82675743e+00
9.90705658e-03	5.94868994e+03	1.58436346e+00
1.03681115e-02	4.93876074e+03	1.37710822e+00
1.08291656e-02	4.15208447e+03	1.21607220e+00
1.12902196e-02	3.50012695e+03	1.07585382e+00
1.17512746e-02	3.00415869e+03	9.62068915e-01
1.22123286e-02	2.57844873e+03	8.62322807e-01
1.26733836e-02	2.22540576e+03	7.77990580e-01
1.31344376e-02	1.93464722e+03	7.06262290e-01
1.35954916e-02	1.68730627e+03	6.42185986e-01
1.40565466e-02	1.48330078e+03	5.87591231e-01
1.45176006e-02	1.30756592e+03	5.38515270e-01
1.49786556e-02	1.16154761e+03	4.96309757e-01
1.54397096e-02	1.03127368e+03	4.57279682e-01
1.59007646e-02	9.21613586e+02	4.23645020e-01
1.63618177e-02	8.21103882e+02	3.91921461e-01
1.68228727e-02	7.38221924e+02	3.64729285e-01
1.72839276e-02	6.68547607e+02	3.40809286e-01
1.77449826e-02	6.01457275e+02	3.17704380e-01
1.82060357e-02	5.41786377e+02	2.92153567e-01
1.86670907e-02	4.90476715e+02	2.65414000e-01
1.91281457e-02	4.48692200e+02	2.46069700e-01
1.95891988e-02	4.08455444e+02	2.29840443e-01
2.00502537e-02	3.72221680e+02	2.16793895e-01
2.05113087e-02	3.39723633e+02	2.04444572e-01
2.09723637e-02	3.12087830e+02	1.93549693e-01
2.14334168e-02	2.87280396e+02	1.83539450e-01
2.18944717e-02	2.64369568e+02	1.73970386e-01
2.23555267e-02	2.44038742e+02	1.65020555e-01
2.28165798e-02	2.25283524e+02	1.56397671e-01
2.32776348e-02	2.08185257e+02	1.48720115e-01
2.37386897e-02	1.93286255e+02	1.41790181e-01
2.41997447e-02	1.80029587e+02	1.35465071e-01
2.46607978e-02	1.67063446e+02	1.29224092e-01
2.51218528e-02	1.55293900e+02	1.23426795e-01
2.55829077e-02	1.44680557e+02	1.18013345e-01
2.60439608e-02	1.34897736e+02	1.12849317e-01
2.65050158e-02	1.26004410e+02	1.08019903e-01
2.69660708e-02	1.18212341e+02	1.03771254e-01
2.74271239e-02	1.10656822e+02	9.95188802e-02
2.78881788e-02	1.03992943e+02	9.56586674e-02
2.83492338e-02	9.74773712e+01	9.17793736e-02
2.88102888e-02	9.18107071e+01	8.83396193e-02
2.92713419e-02	8.66523590e+01	8.51343498e-02
2.97323968e-02	8.14409790e+01	8.18371996e-02
3.01934518e-02	7.69669724e+01	7.89868087e-02
